IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  WSORACLE, -, 2026-03-24 10:09:33.985000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-03-24 10:09:39.674000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-03-24 10:09:48.014000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-03-24 10:09:57.785000, LOGIN, UNKNOWN, UNKNOWN
  BRUNOROBERTO, -, 2026-03-24 10:11:45.489000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MICHELNASCIMENTO, -, 2026-03-24 10:13:48.418000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOPIO, -, 2026-03-24 10:16:44.552000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 10:26:15.492000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSLISBOA, -, 2026-03-24 10:27:06.788000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 10:32:11.560000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GERMANMONDRAGON, -, 2026-03-24 10:40:03.719000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 10:40:45.271000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 11:00:39.827000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 11:01:53.431000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 11:02:58.867000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GEORGESCHUENG, -, 2026-03-24 11:23:42.673000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  TIAGOPEIXER, -, 2026-03-24 12:11:44.141000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 12:24:19.304000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ITEAM, -, 2026-03-24 12:31:22.195000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  TIAGOPEIXER, -, 2026-03-24 13:00:49.270000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WASHINGTONSILVA, -, 2026-03-24 13:01:16.553000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SAVIOPINTO, -, 2026-03-24 13:02:50.050000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  JOAOCOSTA, -, 2026-03-24 13:03:22.558000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBERTOFURTADO, -, 2026-03-24 13:08:37.514000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VINICIUSSOUZA, -, 2026-03-24 13:16:50.623000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WILLIAMPINHEIRO, -, 2026-03-24 13:21:15.892000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
