IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  JEFERSONANDRE, -, 2026-03-25 16:24:21.250000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CELSOROCHA, -, 2026-03-25 16:27:18.433000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LEONARDORIBEIRO, -, 2026-03-25 16:28:34.465000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MAXADMIN, -, 2026-03-25 16:32:29.096000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RALPHLIMA, -, 2026-03-25 16:32:33.360000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 16:33:46.472000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  OSMAELROZARIO, -, 2026-03-25 16:34:20.686000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 16:36:18.820000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALESSANDROREIS, -, 2026-03-25 16:37:32.272000, LOGIN, 10.117.183.12, 10.117.183.12
  MIGUELBRAZUNA, -, 2026-03-25 16:46:30.705000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
