IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  TIAGOFREITAS, O&G_LIMITED, 0, 0, 0
  MARCELLAARAUJO, -, 0, 1, 0
  WAGNERAZEVEDO, -, 0, 1, 0
  GABRIELALINO, -, 0, 1, 0
  LUISACALDERON, O&G_LIMITED, 0, 0, 0
  FABRIZIOSOBRINHO, -, 0, 1, 0
  MARCIUSABREU, -, 0, 1, 0
  GUILHERMECOUTO, -, 0, 1, 0
  CLAUDIOFARIAS, -, 0, 1, 0
  CARLOSJUNIOR, -, 0, 1, 0
  PALOMAFERREIRA, -, 0, 1, 0
  LARAALVES, -, 0, 1, 0
  FREDERICOCARDOSO, -, 0, 1, 0
  JANDERFONSECA, -, 0, 1, 0
  GUSTAVOCORGOSINHO, -, 0, 1, 0
  EDWINVILLAGARAY, -, 0, 1, 0
  ELOIORLANDINI, -, 0, 1, 0
  THIAGOBASTOS, -, 0, 1, 0
  SORAYARANGEL, -, 0, 1, 0
  ALLANMARQUES, -, 0, 1, 1
  ANGELOSILVA, -, 0, 1, 0
